ID,FPS,LOOPTYPE(0:SINGLE 1:LOOP 2:PING PONG),,,
RibbyShoot,15,0,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,ORIGIN
resource/RibbyShoot.png,0,0,338,463,7
resource/RibbyShoot.png,338,0,351,463,7
resource/RibbyShoot.png,689,0,347,463,7
resource/RibbyShoot.png,1036,0,364,463,7
resource/RibbyShoot.png,1400,0,357,463,7
resource/RibbyShoot.png,1757,0,357,463,7
resource/RibbyShoot.png,2114,0,362,463,7
resource/RibbyShoot.png,2476,0,372,463,7
resource/RibbyShoot.png,2848,0,368,463,7
resource/RibbyShoot.png,3216,0,361,463,7
resource/RibbyShoot.png,3577,0,353,463,7
resource/RibbyShoot.png,3930,0,357,463,7
resource/RibbyShoot.png,4287,0,348,463,7
resource/RibbyShoot.png,4635,0,350,463,7
resource/RibbyShoot.png,4985,0,347,463,7
resource/RibbyShoot.png,5332,0,363,463,7
resource/RibbyShoot.png,5695,0,367,463,7
resource/RibbyShoot.png,6062,0,401,463,7
resource/RibbyShoot.png,6463,0,420,463,7
resource/RibbyShoot.png,6883,0,403,463,7
resource/RibbyShoot.png,7286,0,411,463,7
resource/RibbyShoot.png,7697,0,503,463,7
resource/RibbyShoot.png,8200,0,512,463,7
resource/RibbyShoot.png,8712,0,490,463,7
resource/RibbyShoot.png,9202,0,513,463,7
resource/RibbyShoot.png,9715,0,477,463,7
resource/RibbyShoot.png,10192,0,517,463,7
resource/RibbyShoot.png,10709,0,499,463,7
resource/RibbyShoot.png,11208,0,479,463,7
resource/RibbyShoot.png,11687,0,497,463,7
resource/RibbyShoot.png,12184,0,484,463,7
resource/RibbyShoot.png,12668,0,377,463,7
resource/RibbyShoot.png,13045,0,380,463,7
resource/RibbyShoot.png,13425,0,363,463,7
resource/RibbyShoot.png,13788,0,352,463,7
resource/RibbyShoot.png,14140,0,343,463,7
resource/RibbyShoot.png,14483,0,339,463,7
resource/RibbyShoot.png,14822,0,337,463,7
resource/RibbyShoot.png,15159,0,328,463,7
