ID,FPS,LOOPTYPE(0:SINGLE 1:LOOP 2:PING PONG),,,
carnationPlatForm,15,1,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,ORIGIN
resource/carnationPlatForm.png,0,0,158,111,7
resource/carnationPlatForm.png,158,0,159,111,7
resource/carnationPlatForm.png,317,0,160,111,7
resource/carnationPlatForm.png,477,0,160,111,7
resource/carnationPlatForm.png,637,0,160,111,7
resource/carnationPlatForm.png,797,0,160,111,7
resource/carnationPlatForm.png,957,0,159,111,7
resource/carnationPlatForm.png,1116,0,160,111,7
resource/carnationPlatForm.png,1276,0,160,111,7
